"CityId","CountryID","RegionID","City","Latitude","Longitude","TimeZone","DmaId","Code"
"44286","14","3","Aratula","-27.98150063","152.54899597","+10:00","0","ARAT"
"47548","14","3","ARBOUIN","-17.1875","144.13200378","+10:00","0","ARBO"
"47549","14","3","ARCHER RIVER","-13.03450012","142.522995","+10:00","0","ARIV"
"44287","14","3","Archerfield","-27.56839943","153.02400208","+10:00","0","ARCH"
"44288","14","3","Armstrong Beach","-21.45490074","149.28999329","+10:00","0","ABEC"
"44289","14","3","Armstrong Creek","-27.22559929","152.79800415","+10:00","0","ACRX"
"47746","14","3","ARRIGA","-17.11569977","145.28300476","+10:00","0","ARRI"
"44290","14","3","Arundel","-27.93969917","153.3730011","+10:00","0","ARUN"
"44291","14","3","Ascot","-27.43029976","153.05900574","+10:00","0","ASCO"
"44292","14","3","Ashgrove","-27.44560051","152.99200439","+10:00","0","ASHG"
"44293","14","3","Ashgrove West","-27.44930077","152.97900391","+10:00","0","AWES"
"44294","14","3","Ashmore","-27.9864006","153.38200378","+10:00","0","ASHM"
"44295","14","3","Ashmore City","-27.97739983","153.3809967","+10:00","0","ACIT"
"44296","14","3","Ashwell","-27.62849998","152.55999756","+10:00","0","ASHW"
"44297","14","3","Aspley","-27.36389923","153.01600647","+10:00","0","ASPL"
"47757","14","3","ATHERTON","-17.2682991","145.4750061","+10:00","0","ATHE"
"44298","14","3","Athol","-27.61540031","151.7749939","+10:00","0","ATHO"
"44299","14","3","Atkinsons Dam","-27.42099953","152.45599365","+10:00","0","ADAM"
"44300","14","3","Aubigny","-27.52219963","151.64199829","+10:00","0","AUBI"
"44301","14","3","Auchenflower","-27.47550011","152.99299622","+10:00","0","AUCH"
"44302","14","3","Augathella","-25.79470062","146.58700562","+10:00","0","AUGA"
"44303","14","3","Augustine Heights","-27.66909981","152.89399719","+10:00","0","AHEI"
"47550","14","3","AURUKUN","-13.35589981","141.727005","+10:00","0","AURU"
"44304","14","3","Austinville","-28.13579941","153.31700134","+10:00","0","AUST"
"44305","14","3","Avenell Heights","-24.89049911","152.37399292","+10:00","0","AHEG"
"44306","14","3","Avoca","-24.8817997","152.31300354","+10:00","0","AVOC"
"44307","14","3","Avoca Vale","-26.75580025","152.23599243","+10:00","0","AVAL"
"44308","14","3","Avondale","-24.74139977","152.16099548","+10:00","0","AVON"
"44309","14","3","Ayr","-19.5760994","147.40499878","+10:00","0","AYR"
"47506","14","3","BABINDA","-17.34490013","145.92500305","+10:00","0","BABI"
"44310","14","3","Back Plains","-27.89439964","151.80000305","+10:00","0","BPLA"
"47706","14","3","BADU ISLAND","-10.12010002","142.13900757","+10:00","0","BISA"
"44311","14","3","Baffle West","-25.72450066","148.67199707","+10:00","0","BWES"
"44312","14","3","Bahrs Scrub","-27.7390995","153.16700745","+10:00","0","BSCR"
"44313","14","3","Bakers Bend","-26.64719963","146.17700195","+10:00","0","BBEN"
"44314","14","3","Bakers Creek","-21.21899986","149.14700317","+10:00","0","BCRE"
"44315","14","3","Baking Board","-26.70680046","150.54499817","+10:00","0","BBOA"
"44316","14","3","Balberra","-21.3064003","149.11999512","+10:00","0","BALB"
"44317","14","3","Bald Hills","-27.30620003","153.01300049","+10:00","0","BHIL"
"44318","14","3","Bald Knob","-26.77599907","152.89300537","+10:00","0","BKNO"
"44319","14","3","Balgowan","-27.24790001","151.69500732","+10:00","0","BALG"
"44320","14","3","Ballandean","-28.79899979","151.84199524","+10:00","0","BALL"
"44321","14","3","Ballard","-27.48959923","151.96699524","+10:00","0","BALA"
"44322","14","3","Ballaroo","-27.11630058","148.61700439","+10:00","0","BALR"
"44323","14","3","Ballogie","-26.35650063","151.53500366","+10:00","0","BALO"
"44324","14","3","Balmoral","-27.45569992","153.06700134","+10:00","0","BALM"
"44325","14","3","Balmoral Ridge","-26.74029922","152.89599609","+10:00","0","BRID"
